Chr_Scaffold	NCBI_ACC	ENS_ACC
chr1	NC_006088.4	1
chr10	NC_006097.4	10
chr11	NC_006098.4	11
chr12	NC_006099.4	12
chr13	NC_006100.4	13
chr14	NC_006101.4	14
chr15	NC_006102.4	15
chr16	NC_006103.4	16
chr17	NC_006104.4	17
chr18	NC_006105.4	18
chr19	NC_006106.4	19
chr2	NC_006089.4	2
chr20	NC_006107.4	20
chr21	NC_006108.4	21
chr22	NC_006109.4	22
chr23	NC_006110.4	23
chr24	NC_006111.4	24
chr25	NC_006112.3	25
chr26	NC_006113.4	26
chr27	NC_006114.4	27
chr28	NC_006115.4	28
chr3	NC_006090.4	3
chr30	NC_028739.1	30
chr31	NC_028740.1	31
chr32	NC_006119.3	32
chr33	NC_008465.3	33
chr4	NC_006091.4	4
chr5	NC_006092.4	5
chr6	NC_006093.4	6
chr7	NC_006094.4	7
chr8	NC_006095.4	8
chr9	NC_006096.4	9
chrLGE64	NC_008466.3	LGE64
chrMT	NC_001323.1	MT
chrW	NC_006126.4	W
chrZ	NC_006127.4	Z
scaffold_AADN04009352.1_chr10random	NT_461758.1	AADN04009352.1
scaffold_AADN04009423.1_chr10random	NT_461759.1	AADN04009423.1
scaffold_AADN04000928.1_chr10random	NT_461734.1	AADN04000928.1
scaffold_KQ759448.1_chr10random	NT_461760.1	KQ759448.1
scaffold_AADN04009681.1_chr10random	NT_461761.1	AADN04009681.1
scaffold_AADN04009893.1_chr10random	NT_461762.1	AADN04009893.1
scaffold_AADN04010056.1_chr10random	NT_461763.1	AADN04010056.1
scaffold_KQ759443.1_chr10random	NT_461735.1	KQ759443.1
scaffold_AADN04010368.1_chr10random	NT_461764.1	AADN04010368.1
scaffold_AADN04010604.1_chr10random	NT_461765.1	AADN04010604.1
scaffold_AADN04010661.1_chr10random	NT_461766.1	AADN04010661.1
scaffold_AADN04010692.1_chr10random	NT_461767.1	AADN04010692.1
scaffold_AADN04010793.1_chr10random	NT_461768.1	AADN04010793.1
scaffold_AADN04010906.1_chr10random	NT_461769.1	AADN04010906.1
scaffold_AADN04010941.1_chr10random	NT_461770.1	AADN04010941.1
scaffold_AADN04010946.1_chr10random	NT_461771.1	AADN04010946.1
scaffold_AADN04011126.1_chr10random	NT_461772.1	AADN04011126.1
scaffold_AADN04011132.1_chr10random	NT_461773.1	AADN04011132.1
scaffold_AADN04011211.1_chr10random	NT_461774.1	AADN04011211.1
scaffold_AADN04011315.1_chr10random	NT_461775.1	AADN04011315.1
scaffold_AADN04011319.1_chr10random	NT_461776.1	AADN04011319.1
scaffold_AADN04011345.1_chr10random	NT_461777.1	AADN04011345.1
scaffold_AADN04011533.1_chr10random	NT_461778.1	AADN04011533.1
scaffold_AADN04011681.1_chr10random	NT_461779.1	AADN04011681.1
scaffold_AADN04011757.1_chr10random	NT_461780.1	AADN04011757.1
scaffold_AADN04011890.1_chr10random	NT_461781.1	AADN04011890.1
